full_name,height,year_min,season
Jayson Tatum,203,2018,2023
Joel Embiid,213,2017,2023
Luka Dončić,198,2019,2023
Shai Gilgeous-Alexander,198,2019,2023
Giannis Antetokounmpo,211,2014,2023
Anthony Edwards,193,2021,2023
Julius Randle,206,2015,2023
Donovan Mitchell,190,2018,2023
Trae Young,185,2019,2023
Zach LaVine,196,2015,2023
Damian Lillard,188,2013,2023
De'Aaron Fox,190,2018,2023
DeMar DeRozan,198,2010,2023
Jaylen Brown,198,2017,2023
Pascal Siakam,203,2017,2023
Luka Dončić,198,2019,2024
Shai Gilgeous-Alexander,198,2019,2024
Giannis Antetokounmpo,211,2014,2024
Jalen Brunson,188,2019,2024
Nikola Jokić,211,2016,2024
Anthony Edwards,193,2021,2024
Kevin Durant,211,2008,2024
Jayson Tatum,203,2018,2024
De'Aaron Fox,190,2018,2024
Stephen Curry,188,2010,2024
DeMar DeRozan,198,2010,2024
Anthony Davis,208,2013,2024
Devin Booker,198,2016,2024
LeBron James,206,2004,2024
Tyrese Maxey,188,2021,2024
